letterboxd_search,Movie
https://letterboxd.com/search/Swordswomen+Three+1970/,"{
    ""title"": ""swordswomen-three"",
    ""url"": ""https://letterboxd.com/film/swordswomen-three/"",
    ""directors"": [
        ""Shen Chiang""
    ],
    ""rating"": ""None found"",
    ""year"": ""1970"",
    ""genres"": [
        ""Action""
    ]
}"
https://letterboxd.com/search/My+Name+Is+Khan+2010/,"{
    ""title"": ""my-name-is-khan"",
    ""url"": ""https://letterboxd.com/film/my-name-is-khan/"",
    ""directors"": [
        ""Karan Johar""
    ],
    ""rating"": ""3.64 out of 5"",
    ""year"": ""2010"",
    ""genres"": [
        ""Drama"",
        ""Romance""
    ]
}"
https://letterboxd.com/search/Jack+The+Reaper+2011/,"{
    ""title"": ""jack-the-reaper"",
    ""url"": ""https://letterboxd.com/film/jack-the-reaper/"",
    ""directors"": [
        ""Kimberly Seilhamer""
    ],
    ""rating"": ""2.64 out of 5"",
    ""year"": ""2013"",
    ""genres"": [
        ""Horror""
    ]
}"
https://letterboxd.com/search/All+Eyez+On+Me+2017/,"{
    ""title"": ""all-eyez-on-me"",
    ""url"": ""https://letterboxd.com/film/all-eyez-on-me/"",
    ""directors"": [
        ""Benny Boom""
    ],
    ""rating"": ""2.65 out of 5"",
    ""year"": ""2017"",
    ""genres"": [
        ""Drama"",
        ""Music"",
        ""History""
    ]
}"
https://letterboxd.com/search/Twelve+Angry+Men+1957/,"{
    ""title"": ""12-angry-men"",
    ""url"": ""https://letterboxd.com/film/12-angry-men/"",
    ""directors"": [
        ""Sidney Lumet""
    ],
    ""rating"": ""4.63 out of 5"",
    ""year"": ""1957"",
    ""genres"": [
        ""Drama""
    ]
}"
https://letterboxd.com/search/Frailty+2001/,"{
    ""title"": ""frailty"",
    ""url"": ""https://letterboxd.com/film/frailty/"",
    ""directors"": [
        ""Bill Paxton""
    ],
    ""rating"": ""3.50 out of 5"",
    ""year"": ""2001"",
    ""genres"": [
        ""Thriller"",
        ""Drama"",
        ""Crime""
    ]
}"
https://letterboxd.com/search/Monsieur+Verdoux+1947/,"{
    ""title"": ""monsieur-verdoux"",
    ""url"": ""https://letterboxd.com/film/monsieur-verdoux/"",
    ""directors"": [
        ""Charlie Chaplin""
    ],
    ""rating"": ""3.96 out of 5"",
    ""year"": ""1947"",
    ""genres"": [
        ""Drama"",
        ""Crime"",
        ""Comedy""
    ]
}"
https://letterboxd.com/search/The+Switch+2010/,"{
    ""title"": ""the-switch"",
    ""url"": ""https://letterboxd.com/film/the-switch/"",
    ""directors"": [
        ""Josh Gordon"",
        ""Will Speck""
    ],
    ""rating"": ""2.75 out of 5"",
    ""year"": ""2010"",
    ""genres"": [
        ""Comedy"",
        ""Romance"",
        ""Drama""
    ]
}"
https://letterboxd.com/search/Rooster+Cogburn+1975/,"{
    ""title"": ""rooster-cogburn"",
    ""url"": ""https://letterboxd.com/film/rooster-cogburn/"",
    ""directors"": [
        ""Stuart Millar""
    ],
    ""rating"": ""3.18 out of 5"",
    ""year"": ""1975"",
    ""genres"": [
        ""Western"",
        ""Adventure"",
        ""Drama""
    ]
}"
https://letterboxd.com/search/Shooter+2007/,"{
    ""title"": ""shooter"",
    ""url"": ""https://letterboxd.com/film/shooter/"",
    ""directors"": [
        ""Antoine Fuqua""
    ],
    ""rating"": ""3.17 out of 5"",
    ""year"": ""2007"",
    ""genres"": [
        ""Thriller"",
        ""Drama"",
        ""Action""
    ]
}"
